armed,age,gender,is_black,city,signs_of_mental_illness,threat,flee,body_camera,population,percent_completed_hs,poverty_rate,median_income,share_black,share_not_black
Yes,53,M,No,"Shelton, WA",Yes,Yes,No,No,9945,80.1,28.6,37072,0.8,99.2
No,23,M,No,"Wichita, KS",No,Yes,No,No,390069,87.5,17.3,45947,11.5,88.5
Yes,26,M,No,"Wichita, KS",No,Yes,Yes,No,390069,87.5,17.3,45947,11.5,88.5
Yes,18,M,No,"Wichita, KS",No,Yes,Yes,Yes,390069,87.5,17.3,45947,11.5,88.5
Yes,25,M,No,"Wichita, KS",No,Yes,No,No,390069,87.5,17.3,45947,11.5,88.5
Yes,32,M,No,"San Francisco, CA",Yes,Yes,No,No,870854,87.0,13.2,81294,6.1,93.9
Yes,21,M,No,"San Francisco, CA",No,Yes,No,No,870854,87.0,13.2,81294,6.1,93.9
Yes,24,F,No,"San Francisco, CA",Yes,Yes,No,No,870854,87.0,13.2,81294,6.1,93.9
Yes,27,M,No,"San Francisco, CA",No,Yes,No,No,870854,87.0,13.2,81294,6.1,93.9
Yes,25,M,No,"San Francisco, CA",No,Yes,No,No,870854,87.0,13.2,81294,6.1,93.9
Yes,26,M,Yes,"San Francisco, CA",No,Yes,No,No,870854,87.0,13.2,81294,6.1,93.9
Yes,45,M,No,"San Francisco, CA",No,Yes,No,No,870854,87.0,13.2,81294,6.1,93.9
No,29,F,Yes,"San Francisco, CA",No,No,Yes,No,870854,87.0,13.2,81294,6.1,93.9
Yes,26,M,No,"San Francisco, CA",Yes,Yes,No,No,870854,87.0,13.2,81294,6.1,93.9
Yes,26,M,No,"San Francisco, CA",No,Yes,No,Yes,870854,87.0,13.2,81294,6.1,93.9
Yes,59,M,No,"San Francisco, CA",No,Yes,No,No,870854,87.0,13.2,81294,6.1,93.9
Yes,39,M,No,"Evans, CO",No,Yes,No,No,20162,76.3,16.6,47791,0.9,99.1
Yes,37,M,No,"Evans, CO",No,Yes,Yes,Yes,20162,76.3,16.6,47791,0.9,99.1
Yes,18,M,No,"Guthrie, OK",No,Yes,No,No,11235,89.7,18.6,41267,13.4,86.6
Yes,22,M,No,"Chandler, AZ",No,Yes,Yes,No,248374,91.5,10.0,72695,4.8,95.2
Yes,24,M,No,"Chandler, AZ",Yes,Yes,No,No,248374,91.5,10.0,72695,4.8,95.2
Yes,35,M,No,"Assaria, KS",No,Yes,No,No,406,95.9,8.2,51250,0.0,100.0
No,34,F,No,"Burlington, IA",No,Yes,No,Yes,25123,89.7,19.6,39586,7.2,92.8
Yes,25,M,No,"Stockton, CA",No,Yes,No,No,307284,74.9,25.3,44797,12.2,87.8
Yes,35,M,No,"Stockton, CA",Yes,Yes,No,No,307284,74.9,25.3,44797,12.2,87.8
Yes,28,M,No,"Stockton, CA",No,Yes,No,No,307284,74.9,25.3,44797,12.2,87.8
Yes,28,M,No,"Stockton, CA",No,Yes,Yes,No,307284,74.9,25.3,44797,12.2,87.8
No,35,M,Yes,"Stockton, CA",No,Yes,No,No,307284,74.9,25.3,44797,12.2,87.8
Yes,30,M,Yes,"Stockton, CA",No,Yes,Yes,Yes,307284,74.9,25.3,44797,12.2,87.8
Yes,36,M,No,"Stockton, CA",No,No,No,No,307284,74.9,25.3,44797,12.2,87.8
Yes,31,M,Yes,"Freeport, TX",No,Yes,No,No,12113,66.3,26.5,32060,12.2,87.8
Yes,41,M,Yes,"Columbus, OH",Yes,Yes,No,No,867846,88.5,21.7,45659,28.0,72.0
Yes,33,M,Yes,"Columbus, OH",No,Yes,No,No,867846,88.5,21.7,45659,28.0,72.0
Yes,42,M,No,"Columbus, OH",No,Yes,No,No,867846,88.5,21.7,45659,28.0,72.0
Yes,25,M,Yes,"Columbus, OH",No,Yes,No,No,867846,88.5,21.7,45659,28.0,72.0
Yes,36,M,Yes,"Columbus, OH",No,Yes,No,No,867846,88.5,21.7,45659,28.0,72.0
Yes,50,M,No,"Columbus, OH",No,Yes,No,No,867846,88.5,21.7,45659,28.0,72.0
Yes,23,M,Yes,"Columbus, OH",No,Yes,Yes,No,867846,88.5,21.7,45659,28.0,72.0
Yes,30,M,Yes,"Columbus, OH",No,Yes,Yes,No,867846,88.5,21.7,45659,28.0,72.0
Yes,23,M,Yes,"Columbus, OH",No,Yes,No,No,867846,88.5,21.7,45659,28.0,72.0
Yes,25,M,Yes,"Columbus, OH",No,No,No,No,867846,88.5,21.7,45659,28.0,72.0
Yes,13,M,Yes,"Columbus, OH",No,Yes,Yes,No,867846,88.5,21.7,45659,28.0,72.0
