@relation 'dataset-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,4-weka.filters.supervised.instance.SpreadSubsample-M0.0-X900.0-S1-weka.filters.unsupervised.attribute.Remove-R1,3-8'

@attribute age numeric
@attribute population numeric
@attribute percent_completed_hs numeric
@attribute poverty_rate numeric
@attribute median_income numeric
@attribute share_black numeric
@attribute share_not_black numeric
@attribute is_black {No,Yes}

@data
25,937371,87.5,18,57689,8.1,91.9,No
47,11825,87.6,21.7,32788,6.5,93.5,No
49,16604,84.3,34.3,30804,2.4,97.6,No
40,538171,84.2,25.3,37149,5,95,No
21,558934,89,19.2,47030,3.3,96.7,No
6,5480,64.7,29.8,25850,42.9,57.1,No
41,1768,94.1,16.1,37500,0.2,99.8,No
33,333270,54.8,22.1,52253,1.5,98.5,No
36,54331,66.2,19.3,44906,0.5,99.5,No
36,10042,88.8,14.8,55603,8.2,91.8,No
46,8456560,80.3,20.6,53373,25.5,74.5,No
53,153686,91.5,11.9,56954,1.6,98.4,No
36,7195,91.6,11.8,82500,25.3,74.7,No
26,8024,82.2,27.3,30392,18,82,No
34,211923,85.1,30.9,31061,73.4,26.6,No
42,77391,92.1,8.8,22361,6.7,93.3,No
19,11801,84.9,19.9,36440,0,100,No
39,3959194,75.5,22.1,50205,9.6,90.4,No
52,28613,88.5,10.9,54585,3.3,96.7,No
25,54493,70.1,22.1,41565,9.7,90.3,No
48,68180,94.1,18.7,43541,1.1,98.9,No
54,233236,92.3,6.1,105355,3.3,96.7,No
31,39040,86.6,14,55831,2.3,97.7,No
37,46925,93,8.9,55221,1.5,98.5,No
46,1609816,80.7,23.1,47326,6.5,93.5,No
46,15497,90.6,9.8,80734,1.5,98.5,No
35,8456560,80.3,20.6,53373,25.5,74.5,No
47,51625,89.6,14.6,49612,15.4,84.6,No
37,46925,90.3,9.1,72399,1.5,98.5,No
29,59286,85.5,19.8,37279,7.3,92.7,No
32,421180,80.4,20.4,54618,28,72,No
35,208668,72.5,16.1,64824,10,90,No
36,1609816,80.7,23.1,47326,6.5,93.5,No
28,130806,82.7,21.3,52157,2.1,97.9,No
23,2304401,76.7,22.5,46187,23.7,76.3,No
30,257486,66.3,30.8,39711,0.5,99.5,No
52,2864,90.2,13,46989,2.5,97.5,No
38,22795,92.8,7.9,51708,3.1,96.9,No
46,3114,73.7,28.8,29368,47.5,52.5,No
29,144629,7.9,15.4,49604,0,100,No
36,18342,68.3,32.1,34559,12.6,87.4,No
23,325342,81.4,17.5,50658,4.3,95.7,No
